c_fips,county,state,total,per_capita
01003,Baldwin,AL,1,4.479604361342806e-06
01019,Cherokee,AL,1,3.817376698732631e-05
01029,Cleburne,AL,1,6.70690811535882e-05
01039,Covington,AL,1,2.699128181597344e-05
01067,Henry,AL,1,5.812263876780006e-05
01071,Jackson,AL,1,1.9370084840971602e-05
01073,Jefferson,AL,1,1.5184345547114746e-06
01085,Lowndes,AL,1,0.00010281719103434094
01089,Madison,AL,2,5.3632387526179306e-06
01091,Marengo,AL,1,5.3013836611355566e-05
01097,Mobile,AL,1,2.4200769584472787e-06
01117,Shelby,AL,2,9.18687012521704e-06
01121,Talladega,AL,2,2.5006876891145065e-05
01125,Tuscaloosa,AL,2,9.553151345800196e-06
02020,Anchorage,AK,3,1.0416666666666666e-05
02090,Fairbanks North Star,AK,1,1.0325351836363824e-05
04003,Cochise,AZ,1,7.941424056161751e-06
04013,Maricopa,AZ,25,5.573621520778238e-06
04015,Mohave,AZ,9,4.241661600237533e-05
04015,Mohave,UT,1,4.712957333597259e-06
04017,Navajo,AZ,1,9.015181565756734e-06
04019,Pima,AZ,6,5.7291323515510196e-06
04019,Pima,NE,1,9.548553919251699e-07
04025,Yavapai,AZ,3,1.2760581712384996e-05
05003,Ashley,AR,1,5.087246273592104e-05
05007,Benton,AR,4,1.432967568361509e-05
05031,Craighead,AR,1,9.06355363811043e-06
05041,Desha,AR,1,8.802042073761112e-05
05045,Faulkner,AR,3,2.380820113168316e-05
05085,Lonoke,AR,1,1.3640889931659142e-05
05119,Pulaski,AR,2,5.103199450895739e-06
05121,Randolph,AR,1,5.568548836173293e-05
05125,Saline,AR,3,2.4502397151187957e-05
05143,Washington,AR,1,4.180829225668619e-06
06001,Alameda,CA,6,3.5899574530209192e-06
06007,Butte,CA,1,4.562335185641419e-06
06009,Calaveras,CA,1,2.1784119376974187e-05
06013,Contra Costa,CA,3,2.6007216135570418e-06
06017,El Dorado,CA,2,1.0371130919971168e-05
06019,Fresno,CA,3,3.0026994267846794e-06
06023,Humboldt,CA,4,2.9507664615883975e-05
06025,Imperial,CA,3,1.655492095025246e-05
06029,Kern,CA,3,3.332585353065201e-06
06031,Kings,CA,1,6.538511834706421e-06
06033,Lake,CA,1,1.553132668592551e-05
06035,Lassen,CA,1,3.270859909070094e-05
06037,Los Angeles,CA,103,1.0259876700188572e-05
06041,Marin,CA,13,5.022679328970042e-05
06047,Merced,CA,1,3.6012676462114663e-06
06051,Mono,CA,1,6.923289947382996e-05
06053,Monterey,CA,2,4.607647312244131e-06
06055,Napa,CA,1,7.259844348937159e-06
06057,Nevada,CA,2,2.004912034484487e-05
06059,Orange,CA,18,5.668055970163353e-06
06061,Placer,CA,11,2.7615363179683127e-05
06063,Plumas,CA,1,5.317169139150316e-05
06065,Riverside,CA,14,5.666763541338636e-06
06067,Sacramento,CA,22,1.4174728006298733e-05
06069,San Benito,CA,3,4.776461597248758e-05
06071,San Bernardino,CA,19,8.715256515227617e-06
06073,San Diego,CA,22,6.590121408009394e-06
06073,San Diego,PA,1,2.995509730913361e-07
06075,San Francisco,CA,12,1.3612402713859355e-05
06077,San Joaquin,CA,4,5.248324472412182e-06
06079,San Luis Obispo,CA,1,3.5321834898679318e-06
06081,San Mateo,CA,4,5.218028811346082e-06
06083,Santa Barbara,CA,2,4.4792933466816276e-06
06085,Santa Clara,CA,10,5.187120173125323e-06
06087,Santa Cruz,CA,3,1.098044382953959e-05
06089,Shasta,CA,1,5.553087516659263e-06
06093,Siskiyou,CA,1,2.296791382438733e-05
06095,Solano,CA,4,8.93569205818029e-06
06097,Sonoma,CA,2,4.045831175556706e-06
06099,Stanislaus,CA,4,7.264010460175063e-06
06103,Tehama,CA,3,4.6094278163603956e-05
06107,Tulare,CA,2,4.290050300839778e-06
06111,Ventura,CA,10,1.1820247137727155e-05
06115,Yuba,CA,2,2.542329791020491e-05
08001,Adams,CO,4,7.730648736715364e-06
08005,Arapahoe,CO,3,4.569061362494098e-06
08013,Boulder,CO,5,1.532820758071834e-05
08031,Denver,CO,4,5.500466852124074e-06
08037,Eagle,CO,1,1.813993143105919e-05
08041,El Paso,CO,8,1.1104895454349858e-05
08045,Garfield,CO,1,1.6649739431577897e-05
08053,Hinsdale,CO,1,0.0012195121951219512
08059,Jefferson,CO,4,6.8624642079601155e-06
08069,Larimer,CO,3,8.405739438888873e-06
08101,Pueblo,CO,1,5.937396095568328e-06
08103,Rio Blanco,CO,1,0.00015812776723592663
08107,Routt,CO,1,3.9004602543100085e-05
08119,Teller,CO,1,3.938868756893021e-05
08123,Weld,CO,2,6.163480147430445e-06
09001,Fairfield,CT,10,1.0600721697133141e-05
09003,Hartford,CT,9,1.0092854259184498e-05
09005,Litchfield,CT,2,1.1090593513111854e-05
09009,New Haven,CT,7,8.18946203423897e-06
09011,New London,CT,3,1.131196126784462e-05
10003,New Castle,DE,2,3.5793991262686733e-06
11001,District of Columbia,DC,2,2.8338686983615986e-06
12001,Alachua,FL,1,3.716877971179328e-06
12005,Bay,FL,1,5.723934632666495e-06
12009,Brevard,FL,4,6.645158503643208e-06
12011,Broward,FL,23,1.1778092543033566e-05
12015,Charlotte,FL,2,1.0587052035360753e-05
12017,Citrus,FL,1,6.681946049967593e-06
12019,Clay,FL,1,4.5609618156276795e-06
12021,Collier,FL,4,1.0392255691059022e-05
12023,Columbia,FL,2,2.7899450380827496e-05
12027,DeSoto,FL,1,2.6315096971132338e-05
12031,Duval,FL,6,6.264650145392088e-06
12033,Escambia,FL,4,1.2566129255205519e-05
12035,Flagler,FL,1,8.689531721135549e-06
12041,Gilchrist,FL,2,0.00010763104079216446
12045,Gulf,FL,1,7.331915829606276e-05
12051,Hendry,FL,1,2.3797058683546713e-05
12057,Hillsborough,FL,15,1.0190438922585273e-05
12061,Indian River,FL,1,6.253009260706715e-06
12063,Jackson,FL,2,4.309044684793381e-05
